video_id,video_duration,strat,video_width,video_height,video_bitrate,qostype,qosvalue,duration,stall_duration,stall_count
hPUGNCIozp0,92.500,ytfa,1920.0,1080.0,0,loss,0.0,92.5,0.310079,1
hPUGNCIozp0,92.500,ytfa,1280.0,720.0,0,loss,0.0,92.5,0.163258,1
hPUGNCIozp0,92.500,ytfa,854.0,480.0,0,loss,0.0,92.5,0.372548,1
hPUGNCIozp0,92.500,ytfa,640.0,360.0,0,loss,0.0,92.5,0.270581,1
hPUGNCIozp0,92.583,ytfa,480.0,270.0,0,loss,0.0,92.583,0.102599,1
hPUGNCIozp0,92.583,ytfa,400.0,226.0,0,loss,0.0,92.583,0.122429,1
hPUGNCIozp0,92.500,ffh5,1920.0,1080.0,0,loss,0.0,92.5,1,1
hPUGNCIozp0,92.500,ffh5,1280.0,720.0,0,loss,0.0,92.5,1,1
hPUGNCIozp0,92.500,ffh5,854.0,480.0,0,loss,0.0,92.5,1,1
hPUGNCIozp0,92.500,ffh5,640.0,360.0,0,loss,0.0,92.5,1,1
hPUGNCIozp0,92.583,ffh5,480.0,270.0,0,loss,0.0,92.583,1,1
hPUGNCIozp0,92.583,ffh5,400.0,226.0,0,loss,0.0,92.583,1,1
hPUGNCIozp0,92.500,nnbs,1920.0,1080.0,0,loss,0.0,92.5,0.1,1
hPUGNCIozp0,92.500,nnbs,1280.0,720.0,0,loss,0.0,92.5,0.1,1
hPUGNCIozp0,92.500,nnbs,854.0,480.0,0,loss,0.0,92.49999999999999,0.30000000000000004,1
hPUGNCIozp0,92.500,nnbs,640.0,360.0,0,loss,0.0,92.49999999999999,0.2,1
hPUGNCIozp0,92.583,nnbs,480.0,270.0,0,loss,0.0,92.583,0.1,1
hPUGNCIozp0,92.583,nnbs,400.0,226.0,0,loss,0.0,92.583,0.1,1
hPUGNCIozp0,92.500,stbs,1920.0,1080.0,0,loss,0.0,92.5,0.001,1
hPUGNCIozp0,92.500,stbs,1280.0,720.0,0,loss,0.0,92.5,0.001,1
hPUGNCIozp0,92.500,stbs,854.0,480.0,0,loss,0.0,92.5,0.232895,2
hPUGNCIozp0,92.500,stbs,640.0,360.0,0,loss,0.0,92.5,0.12445899999999999,2
hPUGNCIozp0,92.583,stbs,480.0,270.0,0,loss,0.0,92.583,0.001,1
hPUGNCIozp0,92.583,stbs,400.0,226.0,0,loss,0.0,92.583,0.001,1
hPUGNCIozp0,92.500,ytfa,1920.0,1080.0,0,loss,2.0,92.50000000000001,77.26204699999998,8
hPUGNCIozp0,92.500,ytfa,1280.0,720.0,0,loss,2.0,92.49999999999999,6.9963900000000026,2
hPUGNCIozp0,92.500,ytfa,854.0,480.0,0,loss,2.0,92.5,0.463983,1
hPUGNCIozp0,92.500,ytfa,640.0,360.0,0,loss,2.0,92.5,0.680008,1
hPUGNCIozp0,92.583,ytfa,480.0,270.0,0,loss,2.0,92.583,0.102765,1
hPUGNCIozp0,92.583,ytfa,400.0,226.0,0,loss,2.0,92.583,0.448468,1
hPUGNCIozp0,92.500,ffh5,1920.0,1080.0,0,loss,2.0,92.556141,80.943859,4
hPUGNCIozp0,92.500,ffh5,1280.0,720.0,0,loss,2.0,92.53328300000001,24.966716999999996,2
hPUGNCIozp0,92.500,ffh5,854.0,480.0,0,loss,2.0,92.5,1,1
hPUGNCIozp0,92.500,ffh5,640.0,360.0,0,loss,2.0,92.5,1,1
hPUGNCIozp0,92.583,ffh5,480.0,270.0,0,loss,2.0,92.583,1,1
hPUGNCIozp0,92.583,ffh5,400.0,226.0,0,loss,2.0,92.583,1,1
hPUGNCIozp0,92.500,nnbs,1920.0,1080.0,0,loss,2.0,92.49999999999572,73.4000000000001,1
hPUGNCIozp0,92.500,nnbs,1280.0,720.0,0,loss,2.0,92.49999999999966,5.999999999999995,1
hPUGNCIozp0,92.500,nnbs,854.0,480.0,0,loss,2.0,92.49999999999999,0.2,1
hPUGNCIozp0,92.500,nnbs,640.0,360.0,0,loss,2.0,92.5,0.1,1
hPUGNCIozp0,92.583,nnbs,480.0,270.0,0,loss,2.0,92.583,0.1,1
hPUGNCIozp0,92.583,nnbs,400.0,226.0,0,loss,2.0,92.583,0.1,1
hPUGNCIozp0,92.500,stbs,1920.0,1080.0,0,loss,2.0,92.5,73.36551700000001,854
hPUGNCIozp0,92.500,stbs,1280.0,720.0,0,loss,2.0,92.49999999999999,5.9179890000000075,91
hPUGNCIozp0,92.500,stbs,854.0,480.0,0,loss,2.0,92.5,0.14482699999999998,2
hPUGNCIozp0,92.500,stbs,640.0,360.0,0,loss,2.0,92.5,0.096852,2
hPUGNCIozp0,92.583,stbs,480.0,270.0,0,loss,2.0,92.583,0.001,1
hPUGNCIozp0,92.583,stbs,400.0,226.0,0,loss,2.0,92.583,0.001,1
hPUGNCIozp0,92.500,ytfa,1920.0,1080.0,0,loss,8.0,92.49999999999994,536.256708,15
hPUGNCIozp0,92.500,ytfa,1280.0,720.0,0,loss,8.0,92.49999999999994,251.92746300000005,13
hPUGNCIozp0,92.500,ytfa,854.0,480.0,0,loss,8.0,92.49999999999997,82.49241500000008,9
hPUGNCIozp0,92.500,ytfa,640.0,360.0,0,loss,8.0,92.5,23.788878999999994,5
hPUGNCIozp0,92.583,ytfa,480.0,270.0,0,loss,8.0,92.58299999999998,53.964510000000004,5
hPUGNCIozp0,92.583,ytfa,400.0,226.0,0,loss,8.0,92.583,0.177508,1
hPUGNCIozp0,92.500,ffh5,1920.0,1080.0,0,loss,8.0,92.6939570000001,540.8060429999998,19
hPUGNCIozp0,92.500,ffh5,1280.0,720.0,0,loss,8.0,92.57026900000004,255.92973099999998,10
hPUGNCIozp0,92.500,ffh5,854.0,480.0,0,loss,8.0,92.510667,84.989333,4
hPUGNCIozp0,92.500,ffh5,640.0,360.0,0,loss,8.0,92.5,40.0,3
hPUGNCIozp0,92.583,ffh5,480.0,270.0,0,loss,8.0,92.583,61.0,3
hPUGNCIozp0,92.583,ffh5,400.0,226.0,0,loss,8.0,92.583,1,1
hPUGNCIozp0,92.500,nnbs,1920.0,1080.0,0,loss,8.0,92.50000000002206,533.7000000000528,1
hPUGNCIozp0,92.500,nnbs,1280.0,720.0,0,loss,8.0,92.50000000001953,247.39999999999023,1
hPUGNCIozp0,92.500,nnbs,854.0,480.0,0,loss,8.0,92.49999999999572,78.99999999999979,1
hPUGNCIozp0,92.500,nnbs,640.0,360.0,0,loss,8.0,92.4999999999987,22.000000000000043,1
hPUGNCIozp0,92.583,nnbs,480.0,270.0,0,loss,8.0,92.58299999999647,53.30000000000049,1
hPUGNCIozp0,92.583,nnbs,400.0,226.0,0,loss,8.0,92.583,0.1,1
hPUGNCIozp0,92.500,stbs,1920.0,1080.0,0,loss,8.0,92.49999999999983,533.6458020000001,1492
hPUGNCIozp0,92.500,stbs,1280.0,720.0,0,loss,8.0,92.49999999999983,247.34115900000012,1110
hPUGNCIozp0,92.500,stbs,854.0,480.0,0,loss,8.0,92.49999999999993,78.91714600000007,381
hPUGNCIozp0,92.500,stbs,640.0,360.0,0,loss,8.0,92.49999999999997,21.911890000000028,93
hPUGNCIozp0,92.583,stbs,480.0,270.0,0,loss,8.0,92.58299999999987,53.253686000000116,153
hPUGNCIozp0,92.583,stbs,400.0,226.0,0,loss,8.0,92.583,0.001,1
hPUGNCIozp0,92.500,ytfa,1920.0,1080.0,0,loss,4.0,92.50000000000003,185.900204,11
hPUGNCIozp0,92.500,ytfa,1280.0,720.0,0,loss,4.0,92.49999999999996,68.14238300000001,7
hPUGNCIozp0,92.500,ytfa,854.0,480.0,0,loss,4.0,92.5,0.358113,1
hPUGNCIozp0,92.500,ytfa,640.0,360.0,0,loss,4.0,92.5,0.464654,1
hPUGNCIozp0,92.583,ytfa,480.0,270.0,0,loss,4.0,92.583,0.104145,1
hPUGNCIozp0,92.583,ytfa,400.0,226.0,0,loss,4.0,92.583,0.486964,1
hPUGNCIozp0,92.500,ffh5,1920.0,1080.0,0,loss,4.0,92.64817000000002,186.85182999999998,8
hPUGNCIozp0,92.500,ffh5,1280.0,720.0,0,loss,4.0,92.57108600000001,77.92891399999999,4
hPUGNCIozp0,92.500,ffh5,854.0,480.0,0,loss,4.0,92.5,1,1
hPUGNCIozp0,92.500,ffh5,640.0,360.0,0,loss,4.0,92.5,1,1
hPUGNCIozp0,92.583,ffh5,480.0,270.0,0,loss,4.0,92.583,1,1
hPUGNCIozp0,92.583,ffh5,400.0,226.0,0,loss,4.0,92.583,1,1
hPUGNCIozp0,92.500,nnbs,1920.0,1080.0,0,loss,4.0,92.5000000000008,181.49999999999397,1
hPUGNCIozp0,92.500,nnbs,1280.0,720.0,0,loss,4.0,92.49999999999572,64.10000000000063,1
hPUGNCIozp0,92.500,nnbs,854.0,480.0,0,loss,4.0,92.49999999999999,0.2,1
hPUGNCIozp0,92.500,nnbs,640.0,360.0,0,loss,4.0,92.49999999999999,0.30000000000000004,1
hPUGNCIozp0,92.583,nnbs,480.0,270.0,0,loss,4.0,92.583,0.1,1
hPUGNCIozp0,92.583,nnbs,400.0,226.0,0,loss,4.0,92.583,0.1,1
hPUGNCIozp0,92.500,stbs,1920.0,1080.0,0,loss,4.0,92.50000000000003,181.43304699999996,1209
hPUGNCIozp0,92.500,stbs,1280.0,720.0,0,loss,4.0,92.49999999999994,64.07306900000006,664
hPUGNCIozp0,92.500,stbs,854.0,480.0,0,loss,4.0,92.5,0.160243,2
hPUGNCIozp0,92.500,stbs,640.0,360.0,0,loss,4.0,92.5,0.209979,2
hPUGNCIozp0,92.583,stbs,480.0,270.0,0,loss,4.0,92.583,0.001,1
hPUGNCIozp0,92.583,stbs,400.0,226.0,0,loss,4.0,92.583,0.001,1
hPUGNCIozp0,92.500,ytfa,1280.0,720.0,0,loss,10.0,92.50000000000013,443.4659169999999,14
hPUGNCIozp0,92.500,ytfa,854.0,480.0,0,loss,10.0,92.5,131.07904299999998,10
hPUGNCIozp0,92.500,ytfa,640.0,360.0,0,loss,10.0,92.5,88.70007899999999,8
hPUGNCIozp0,92.583,ytfa,480.0,270.0,0,loss,10.0,92.58300000000001,50.59742700000001,6
hPUGNCIozp0,92.583,ytfa,400.0,226.0,0,loss,10.0,92.583,5.965151,2
hPUGNCIozp0,92.500,ffh5,1920.0,1080.0,0,loss,10.0,92.73278700000009,900.767213,31
hPUGNCIozp0,92.500,ffh5,1280.0,720.0,0,loss,10.0,92.57012200000008,447.9298779999999,16
hPUGNCIozp0,92.500,ffh5,854.0,480.0,0,loss,10.0,92.520685,134.97931499999999,6
hPUGNCIozp0,92.500,ffh5,640.0,360.0,0,loss,10.0,92.5,101.0,4
hPUGNCIozp0,92.583,ffh5,480.0,270.0,0,loss,10.0,92.583,61.0,3
hPUGNCIozp0,92.583,ffh5,400.0,226.0,0,loss,10.0,92.583,22.0,2
hPUGNCIozp0,92.500,nnbs,1920.0,1080.0,0,loss,10.0,92.50000000002206,893.9000000001347,1
hPUGNCIozp0,92.500,nnbs,1280.0,720.0,0,loss,10.0,92.500000000022,440.90000000003175,1
hPUGNCIozp0,92.500,nnbs,854.0,480.0,0,loss,10.0,92.49999999999572,126.1999999999971,1
hPUGNCIozp0,92.500,nnbs,640.0,360.0,0,loss,10.0,92.49999999999572,84.49999999999947,1
hPUGNCIozp0,92.583,nn